Oona,Swigart,16076420,Oona.Swigart@college.harvard.edu,3
Priscilla,Geffner,14666772,Priscilla.Geffner@college.harvard.edu,3
Diena,Shama,13777228,Diena.Shama@college.harvard.edu,3
Inga,Bow,15657083,Inga.Bow@college.harvard.edu,3
Bernardine,Sophronia,16311101,Bernardine.Sophronia@college.harvard.edu,3
Emmey,Boehike,19456940,Emmey.Boehike@college.harvard.edu,3
Catrina,Persse,14686761,Catrina.Persse@college.harvard.edu,3
Elyssa,Wu,12316153,Elyssa.Wu@college.harvard.edu,3
Isa,Suanne,10263083,Isa.Suanne@college.harvard.edu,3
Luci,Dulciana,17658485,Luci.Dulciana@college.harvard.edu,3
Gertrud,Abbot,18844206,Gertrud.Abbot@college.harvard.edu,3
Morganica,Atcliffe,18171957,Morganica.Atcliffe@college.harvard.edu,3
Belva,Wenoa,13029453,Belva.Wenoa@college.harvard.edu,3
Fredericka,Grimbly,13591891,Fredericka.Grimbly@college.harvard.edu,3
Elsie,Quinn,10763714,Elsie.Quinn@college.harvard.edu,3
Elfreda,Jethro,16322570,Elfreda.Jethro@college.harvard.edu,3
Linet,Rosette,17390813,Linet.Rosette@college.harvard.edu,3
Olivette,Sprage,12803689,Olivette.Sprage@college.harvard.edu,3
Ethel,Ariella,13239167,Ethel.Ariella@college.harvard.edu,3
Claudina,Artie,14132861,Claudina.Artie@college.harvard.edu,3
Blondelle,Fink,12658378,Blondelle.Fink@college.harvard.edu,3
Cissiee,Ehrman,16000436,Cissiee.Ehrman@college.harvard.edu,3
Ayn,Tjon,11108293,Ayn.Tjon@college.harvard.edu,3
Sabina,Iiette,14909226,Sabina.Iiette@college.harvard.edu,3
Bettine,Niccolo,12587420,Bettine.Niccolo@college.harvard.edu,3
Blake,Arathorn,18718806,Blake.Arathorn@college.harvard.edu,3
Keelia,Cordi,19066481,Keelia.Cordi@college.harvard.edu,3
Corly,Stelle,13629300,Corly.Stelle@college.harvard.edu,3
